UserID,Panel,Round,roundStartCur,roundEndCur,TransTimes,transWordNum,ClickAns,TrueAns
3, 1, 1, 0.02, 1.126, 0, 0, A, C
3, 2, 1, 0.018, 2.448, 0, 0, B, D
3, 3, 1, 0.022, 3.769, 0, 0, C, C
3, 3, 2, 3.775, 4.866, 0, 0, E, B
3, 2, 2, 2.454, 6.082, 0, 0, A, C
3, 1, 2, 1.134, 7.077, 0, 0, A, B
3, 2, 3, 6.085, 7.849, 0, 0, C, B
3, 3, 3, 4.867, 8.619, 0, 0, A, B
3, 3, 4, 8.62, 9.715, 0, 0, C, B
3, 2, 4, 7.853, 10.375, 0, 0, C, C
3, 1, 3, 7.083, 11.253, 0, 0, A, D
3, 1, 4, 11.254, 11.912, 0, 0, C, A
3, 2, 5, 10.378, 12.574, 0, 0, A, A
3, 3, 5, 9.716, 13.348, 0, 0, C, C
3, 3, 6, 13.349, 14.011, 0, 0, E, D
3, 3, 7, 14.014, 14.67, 0, 0, A, B
3, 1, 5, 11.916, 15.44, 0, 0, B, E
3, 1, 6, 15.44, 15.88, 0, 0, C, E
3, 1, 7, 15.883, 16.536, 0, 0, D, B
3, 1, 8, 16.537, 17.195, 0, 0, E, A
3, 2, 6, 12.578, 18.856, 0, 0, E, D
3, 2, 7, 18.856, 19.626, 0, 0, E, D
3, 3, 8, 14.671, 20.39, 0, 0, E, D
3, 3, 9, 20.391, 20.938, 0, 0, D, C
3, 3, 10, 20.939, 21.373, 0, 0, B, E
3, 3, 11, 21.376, 21.814, 0, 0, A, B
3, 2, 8, 19.626, 22.692, 0, 0, E, B
3, 1, 9, 17.196, 23.131, 0, 0, B, D
3, 2, 9, 22.697, 24.009, 0, 0, D, B
3, 3, 12, 21.818, 24.447, 0, 0, C, E
3, 3, 13, 24.448, 24.999, 0, 0, A, A
3, 3, 14, 25.0, 25.546, 0, 0, D, E
3, 2, 10, 24.01, 26.099, 0, 0, A, C
3, 1, 10, 23.132, 26.537, 0, 0, A, C
3, 1, 11, 26.538, 27.085, 0, 0, C, A
3, 2, 11, 26.103, 27.745, 0, 0, D, B
3, 3, 15, 25.546, 28.399, 0, 0, A, A
3, 3, 16, 28.4, 28.946, 0, 0, C, D
3, 2, 12, 27.745, 29.493, 0, 0, C, E
3, 1, 12, 27.086, 30.04, 0, 0, B, B
3, 2, 13, 29.494, 30.698, 0, 0, D, C
3, 3, 17, 28.947, 31.139, 0, 0, C, D
